layers,d_model,bs,seqlen,prec,compile,static,tps,mem_gb,energy_j,avg_power_w,overflow,env,times
4,128,1,64,fp32,True,True,2886.20880950339,0.6268467903137207,6.0429,60.429,1.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.023223701000006258, 0.0216943990000118, 0.022328738000055637, 0.021950199000002613, 0.021675051999977768]"
4,128,1,64,fp32,True,False,2880.7146131123727,0.6268467903137207,3.0060000000000002,60.12,1.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.022701510999922903, 0.021777182000050743, 0.02294904799998676, 0.021716370000035568, 0.02193943700001455]"
4,128,1,64,fp32,False,True,967.7055197112835,0.6268815994262695,18.1361,60.45366666666666,1.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.07136503999993238, 0.06360142599999108, 0.06787780699994528, 0.06398645399997349, 0.0638483829999359]"
4,128,1,64,fp32,False,False,903.0367302228434,0.6268815994262695,12.73775,42.45916666666667,1.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.07758082200007266, 0.07065554600001178, 0.06484530900002028, 0.06950723900001776, 0.07177097800001775]"
4,128,1,64,amp,True,True,2502.020283644573,0.6230335235595703,5.982600000000001,59.826,65536.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.02559441500000048, 0.024768966999999975, 0.0263853310000286, 0.02504897799997252, 0.02609895399996276]"
4,128,1,64,amp,True,False,2470.6287790391016,0.6230335235595703,6.2513000000000005,62.513,65536.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.025958949000028042, 0.025506172000063998, 0.025999943999977404, 0.025690968999924735, 0.02636565000000246]"
4,128,1,64,amp,False,True,1064.6305500937792,0.6230683326721191,14.177200000000001,56.7088,65536.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.07404863099998238, 0.056881341000007524, 0.05627963799997815, 0.05718729000000167, 0.056176852999897164]"
4,128,1,64,amp,False,False,865.9797154476813,0.6230683326721191,13.02745,43.42483333333333,65536.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.0764117600000418, 0.07267085400008, 0.07227915099997517, 0.07550458700006857, 0.07265731500001493]"
4,128,1,128,fp32,True,True,4386.750601197169,0.6344766616821289,5.9077,59.077,1.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.03407728400009091, 0.028635462000011103, 0.028418389999956162, 0.026111872000001313, 0.02865085700000236]"
4,128,1,128,fp32,True,False,5459.629206896825,0.6344766616821289,5.573,55.730000000000004,1.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.023410309000041707, 0.023782611000001452, 0.02354790399999729, 0.023418741999989834, 0.023064511999905335]"
4,128,1,128,fp32,False,True,2630.7154734246724,0.6345539093017578,13.3446,66.723,1.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.04774777200009339, 0.04886375700004919, 0.04855242899998302, 0.049917660000005526, 0.04819820700004129]"
4,128,1,128,fp32,False,False,2629.842267444533,0.6345539093017578,13.108500000000003,65.5425,1.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.048400885000091876, 0.04883644500000628, 0.048521322999931726, 0.048251999999934014, 0.04934994999996434]"
4,128,1,128,amp,True,True,4935.456300324779,0.6268486976623535,6.0074000000000005,60.074,65536.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.026695657000004758, 0.025171761000024162, 0.02535925600000155, 0.025340951999965, 0.02710630100000344]"
4,128,1,128,amp,True,False,5036.941400442869,0.6268486976623535,6.13195,61.3195,65536.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.025564725999970506, 0.02448780899999292, 0.026777283999990686, 0.02498153400006231, 0.02524988300001496]"
4,128,1,128,amp,False,True,2317.898950056466,0.6269259452819824,14.806250000000002,59.225,65536.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.057526545000087026, 0.05412101199999597, 0.05451303600000301, 0.054554355000050236, 0.05539717500005281]"
4,128,1,128,amp,False,False,2308.891699227674,0.6269259452819824,15.3725,61.489999999999995,65536.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.05585096799995881, 0.05739062300006026, 0.05471495999995568, 0.054200926000021354, 0.055031790999919394]"
