layers,d_model,bs,seqlen,speedup_amp_over_fp32,mem_saving_pct,energy_gain_pct,tps_fp32,tps_amp,tokens_per_step,adj_amp,adj_fp32,ga_amp,ga_fp32
4,256,1,128,1.2102939157199064,1.716243692878607,48.65864897088712,619.5194174611728,749.8005816235982,128,,,1,1
4,256,1,256,1.0941144994975285,3.3186375080119728,39.57838346528193,1444.9547870278438,1580.945983605527,256,,,1,1
4,256,1,512,0.8762350097697199,3.865680917970743,11.543627005113976,3268.9117074359933,2864.3348819015296,512,,,1,1
4,256,1,1024,0.9672597402375107,8.466299974493165,24.54379818193415,4887.1164051164305,4727.110944523396,1024,,,1,1
4,256,2,128,0.899510822309649,3.3186375080119728,4.5709560894601875,2774.5013494615832,2495.6939903534194,256,,,1,1
4,256,2,256,1.004997801968173,3.8306133429980287,30.404748451805386,4596.019170497843,4618.989164153918,512,,,1,1
4,256,2,512,1.3705573416142758,8.3836859570239,45.21475387484526,6062.604575149581,8309.147209775556,1024,,,1,1
4,256,2,1024,1.741204279187388,11.991159589469817,56.211006047641796,6836.619768012683,11903.951595240773,2048,,,1,1
4,256,4,128,1.0920349150835142,3.8131510833860376,10.287089405443428,4542.2171064917175,4960.2596721785685,512,,,1,1
4,256,4,256,1.4530772566419214,8.342242572182517,40.23616336045359,5797.018241834721,8423.515363548371,1024,,,1,1
4,256,4,512,1.6583278652361748,11.901450880652966,94.24047398427918,7204.942878469248,11948.157542800489,2048,,,1,1
4,256,8,128,1.3513902774269069,8.321442554513858,50.761637718404096,6058.746878622693,8187.7316251613265,1024,,,1,1
4,256,8,256,1.694539650157791,11.856409099422157,78.46032590075431,7157.123762319745,12128.029996337313,2048,,,1,1
4,256,8,512,2.3316479607663374,14.200507322206132,137.67781795482512,6514.047391268653,15188.465316186834,4096,,,1,1
4,512,1,128,0.6056106191747244,0.8682416162198576,-24.36123917872196,978.435163073538,592.5507249312877,128,,,1,1
4,512,1,256,1.0891138072768611,1.7068764203180793,11.30394469302658,1568.6613014659115,1708.4506823674149,256,,,1,1
4,512,1,512,1.3155058715553065,3.301091796296625,47.10947593602841,2535.5444309940226,3335.523586561995,512,,,1,1
4,512,1,1024,1.7086814232921295,4.016088747951787,70.07573373936565,3219.6397607821377,5501.338648941154,1024,,,1,1
4,512,2,128,0.7029710242488303,1.7068764203180793,-26.008282293173846,1820.2995078364963,1279.6178094634636,256,,,1,1
4,512,2,256,1.2991745591003572,3.301091796296625,55.107850458633514,2620.995864060223,3405.1311460942998,512,,,1,1
4,512,2,512,1.658684986552946,3.947160948995407,89.38660622721166,3373.631323609724,5595.791626636193,1024,,,1,1
4,512,2,1024,2.168229229110321,8.55241420835867,120.47097817341049,3553.6981941887516,7705.232296076617,2048,,,1,1
4,512,4,128,1.067430185474559,3.301091796296625,26.695380504209922,2597.871822682395,2773.046801524999,512,,,1,1
4,512,4,256,1.5950656781931807,3.9126174855566282,56.94833711036955,3414.1525576836207,5445.797564876607,1024,,,1,1
4,512,4,512,2.2286020014834813,8.471118048350078,124.44312281921084,3654.2800648008315,8143.935866396319,2048,,,1,1
4,512,8,128,1.665078297992122,3.895361234241821,82.29698234328899,3437.0287065537823,5722.921908858636,1024,,,1,1
4,512,8,256,2.15105655518661,8.430347414662858,115.69641536728352,3758.702768000156,8085.182228104792,2048,,,1,1
4,512,8,512,2.8716412048341207,11.974224696168607,185.84031532014168,3632.5144767705992,10431.27824865091,4096,,,1,1
8,256,1,128,1.261663351695379,1.3622227459719658,18.679806980864775,561.6286156489805,708.5862416277286,128,,,1,1
8,256,1,256,0.6078493138331196,2.6522368628529858,-16.73836063443752,1601.5416756979141,973.4960086481217,256,,,1,1
8,256,1,512,0.9157409769438578,3.2825788779799985,19.767210547920612,2964.0124024398965,2714.267613084022,512,,,1,1
8,256,1,1024,1.375183129280483,8.651107448766176,27.29352989023157,3642.317518377326,5008.8536027552545,1024,,,1,1
8,256,2,128,1.169778145734221,2.6522368628529858,41.184192292632815,1160.6992099833708,1357.7605696095225,256,,,1,1
8,256,2,256,0.9409407844133967,3.2223233081627765,2.2573556971721143,2977.5047152830825,2801.655622393051,512,,,1,1
8,256,2,512,1.1520550138228935,8.507814491458928,10.104529843187503,4416.744619700597,5088.332783901362,1024,,,1,1
8,256,2,1024,1.6099984962534974,12.911969337724042,69.59157472974111,5077.771268765014,8175.204107030886,2048,,,1,1
8,256,4,128,0.6777995942661039,3.192089856093844,-32.848040547992376,3038.612209757136,2059.570122905416,512,,,1,1
8,256,4,256,1.0966755397729093,8.435800164631836,14.782251565658711,4621.719842206263,5068.527102630718,1024,,,1,1
8,256,4,512,1.4952389196999938,12.756534058784213,62.37385021434794,5600.08846804187,8373.470231179319,2048,,,1,1
8,256,8,128,1.0986365714939426,8.39960802955181,14.854309284316326,4510.673081112335,4955.590408963274,1024,,,1,1
8,256,8,256,1.5353464487009316,12.678328649598175,54.3175611899072,5430.787539997404,8338.140363184282,2048,,,1,1
8,256,8,512,1.9587238558339,15.623645640404488,91.41995408646181,5948.636347543887,11651.73592361485,4096,,,1,1
8,512,1,128,1.0567265118935836,0.682399693152939,14.731134590148208,505.7316439471276,534.4200360624559,128,,,1,1
8,512,1,256,1.148316783301848,1.3464491046431966,13.867826819264927,950.7946715153529,1091.813478775047,256,,,1,1
